State_Short,State,Quarter,Broad Type of Service, Services ,Benefits, Bulk Billed Services , Patient Billed Services , Bulk Billed Benefits ($) , Patient Billed Benefits ($) ,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service: Out of Hospital Patient Billed ($) , Schedule Fee ($) , Fee Charged ($) , Bulk Billed Fee Charged ($) , Patient Billed Fee Charged ($) 
SA,New South Wales,2023-24 Q2 (Dec Qtr),Total Medicare,"7,666,298","492,525,562","5,615,428","2,050,870","307,742,313","184,783,248",73.20%,60.62,"538,085,050","649,582,986","307,527,108","342,055,878"
WA,Victoria,2023-24 Q2 (Dec Qtr),Total Medicare,"10,703,032","694,635,200","7,717,001","2,986,031","427,149,156","267,486,044",72.10%,66.29,"753,770,592","943,528,255","426,927,454","516,600,801"
Tas,Queensland,2023-24 Q2 (Dec Qtr),Total Medicare,"2,212,106","138,512,110","1,615,795","596,311","83,627,826","54,884,284",73.00%,62.21,"150,486,860","187,680,950","83,580,605","104,100,345"
NT,South Australia,2023-24 Q2 (Dec Qtr),Total Medicare,"692,542","41,857,206","563,929","128,613","31,263,064","10,594,142",81.40%,66.73,"45,315,378","53,089,888","31,244,898","21,844,990"
ACT,Western Australia,2023-24 Q2 (Dec Qtr),Total Medicare,"1,559,827","103,608,963","1,005,094","554,733","49,842,261","53,766,702",64.40%,74.36,"105,829,552","159,408,520","49,801,350","109,607,170"
Unk,Tasmania,2023-24 Q2 (Dec Qtr),Total Medicare,"1,359","98,398",950,409,"54,501","43,898",69.90%,76.21,"107,846","140,821","54,468","86,352"
Australia,Northern Australia,2023-24 Q2 (Dec Qtr),Total GP Non-Referred Attendances,"39,169,904","2,187,581,361","29,979,212","9,190,692","1,692,740,589","494,840,772",76.50%,41.76,"2,148,860,283","2,570,929,042","1,692,740,589","878,188,452"
NSW,Australian Capital Territory,2023-24 Q2 (Dec Qtr),Total GP Non-Referred Attendances,"12,826,434","714,282,099","10,431,239","2,395,195","582,908,875","131,373,224",81.30%,41.25,"702,637,877","812,861,374","582,908,875","229,952,499"
Vic,Unknown,2023-24 Q2 (Dec Qtr),Total GP Non-Referred Attendances,"10,605,547","584,503,152","8,216,932","2,388,615","454,756,280","129,746,871",77.50%,41.9,"573,817,164","684,548,994","454,756,280","229,792,714"
Qld,Australia,2023-24 Q2 (Dec Qtr),Total GP Non-Referred Attendances,"7,910,311","448,883,767","5,895,934","2,014,377","340,258,938","108,624,829",74.50%,42.4,"440,131,399","534,163,407","340,258,938","193,904,469"
SA,New South Wales,2023-24 Q2 (Dec Qtr),Total GP Non-Referred Attendances,"2,613,706","145,430,904","1,900,845","712,861","108,648,191","36,782,713",72.70%,36.54,"143,849,509","171,478,158","108,648,191","62,829,967"
WA,Victoria,2023-24 Q2 (Dec Qtr),Total GP Non-Referred Attendances,"3,669,255","204,408,932","2,551,571","1,117,684","147,195,614","57,213,318",69.50%,42.12,"201,384,339","251,457,894","147,195,614","104,262,280"
Tas,Queensland,2023-24 Q2 (Dec Qtr),Total GP Non-Referred Attendances,"759,448","43,765,524","523,439","236,009","30,854,714","12,910,810",68.90%,48.22,"42,826,210","55,133,556","30,854,714","24,278,842"
NT,South Australia,2023-24 Q2 (Dec Qtr),Total GP Non-Referred Attendances,"246,445","15,302,124","179,100","67,345","11,922,268","3,379,855",72.70%,42.05,"15,203,848","18,133,532","11,922,268","6,211,263"
ACT,Western Australia,2023-24 Q2 (Dec Qtr),Total GP Non-Referred Attendances,"538,351","30,981,396","279,886","258,465","16,179,997","14,801,399",52.00%,46.97,"28,987,225","43,122,137","16,179,997","26,942,140"
Unk,Tasmania,2023-24 Q2 (Dec Qtr),Total GP Non-Referred Attendances,407,"23,465",266,141,"15,713","7,752",65.40%,46.72,"22,714","29,991","15,713","14,278"
Australia,Northern Australia,2023-24 Q2 (Dec Qtr),Practice Nurse,"562,950","9,439,877","539,636","23,314","8,151,195","1,288,682",95.90%,11.02,"8,732,024","9,696,695","8,151,195","1,545,499"
NSW,Australian Capital Territory,2023-24 Q2 (Dec Qtr),Practice Nurse,"166,005","2,614,665","161,335","4,670","2,376,207","238,458",97.20%,11.53,"2,491,597","2,668,530","2,376,207","292,322"
Vic,Unknown,2023-24 Q2 (Dec Qtr),Practice Nurse,"110,455","1,823,980","104,143","6,312","1,417,152","406,829",94.30%,12.47,"1,593,654","1,902,702","1,417,152","485,551"
Qld,Australia,2023-24 Q2 (Dec Qtr),Practice Nurse,"145,572","2,706,544","135,709","9,863","2,141,395","565,149",93.20%,10.96,"2,382,274","2,814,608","2,141,395","673,212"
SA,New South Wales,2023-24 Q2 (Dec Qtr),Practice Nurse,"44,628","630,032","43,782",846,"617,279","12,753",98.10%,2.38,"632,652","632,046","617,279","14,766"
WA,Victoria,2023-24 Q2 (Dec Qtr),Practice Nurse,"56,422","901,380","55,987",435,"893,565","7,815",99.20%,6.34,"900,527","904,137","893,565","10,572"
Tas,Queensland,2023-24 Q2 (Dec Qtr),Practice Nurse,"15,758","258,809","14,692","1,066","204,475","54,334",93.20%,10.06,"228,138","269,531","204,475","65,056"
NT,South Australia,2023-24 Q2 (Dec Qtr),Practice Nurse,"20,210","450,618","20,155",55,"449,054","1,564",99.70%,3.94,"449,911","450,835","449,054","1,781"
ACT,Western Australia,2023-24 Q2 (Dec Qtr),Practice Nurse,"3,891","53,717","3,824",67,"51,937","1,780",98.30%,6.85,"53,139","54,176","51,937","2,239"
Unk,Tasmania,2023-24 Q2 (Dec Qtr),Practice Nurse,9,131,9, -   ,131, -   ,100.00%, - ,131,131,131, -   
Australia,Northern Australia,2023-24 Q2 (Dec Qtr),Other Allied Health,"3,688,531","321,602,712","1,688,921","1,999,610","116,186,408","205,416,304",45.80%,59.83,"340,773,184","441,249,157","116,186,408","325,062,749"
NSW,Australian Capital Territory,2023-24 Q2 (Dec Qtr),Other Allied Health,"1,165,887","101,491,726","540,826","625,061","37,604,338","63,887,389",46.40%,59.43,"107,169,983","138,637,512","37,604,338","101,033,174"
Vic,Unknown,2023-24 Q2 (Dec Qtr),Other Allied Health,"1,082,693","94,205,720","476,868","605,825","32,489,592","61,716,128",44.00%,59.71,"99,522,675","130,379,538","32,489,592","97,889,946"
Qld,Australia,2023-24 Q2 (Dec Qtr),Other Allied Health,"723,250","62,212,678","358,584","364,666","24,667,230","37,545,448",49.60%,59.97,"66,364,905","84,082,723","24,667,230","59,415,493"
SA,New South Wales,2023-24 Q2 (Dec Qtr),Other Allied Health,"271,988","22,310,803","151,273","120,715","10,015,656","12,295,147",55.60%,56.7,"24,520,152","29,155,180","10,015,656","19,139,524"
WA,Victoria,2023-24 Q2 (Dec Qtr),Other Allied Health,"326,425","29,622,019","132,266","194,159","9,058,045","20,563,974",40.50%,62.96,"31,253,714","41,847,098","9,058,045","32,789,053"
Tas,Queensland,2023-24 Q2 (Dec Qtr),Other Allied Health,"63,768","5,870,986","16,745","47,023","1,370,865","4,500,121",26.30%,47.82,"6,306,110","8,119,761","1,370,865","6,748,895"
NT,South Australia,2023-24 Q2 (Dec Qtr),Other Allied Health,"11,882","985,583","5,817","6,065","437,808","547,775",49.00%,72.54,"1,095,374","1,425,550","437,808","987,742"
ACT,Western Australia,2023-24 Q2 (Dec Qtr),Other Allied Health,"42,610","4,900,306","6,532","36,078","542,258","4,358,048",15.30%,74.77,"4,537,684","7,598,027","542,258","7,055,769"
Unk,Tasmania,2023-24 Q2 (Dec Qtr),Other Allied Health,28,"2,891",10,18,617,"2,274",35.70%,48.76,"2,588","3,768",617,"3,152"
Australia,Northern Australia,2023-24 Q2 (Dec Qtr),Specialist Attendances,"8,688,225","816,695,741","2,526,695","6,161,530","218,262,500","598,433,241",29.10%,102.96,"860,004,738","1,367,878,525","218,262,500","1,149,616,026"
NSW,Australian Capital Territory,2023-24 Q2 (Dec Qtr),Specialist Attendances,"2,998,857","291,662,105","968,810","2,030,047","86,392,375","205,269,730",32.30%,109.89,"302,855,760","487,954,188","86,392,375","401,561,813"
Vic,Unknown,2023-24 Q2 (Dec Qtr),Specialist Attendances,"2,484,109","233,400,336","747,931","1,736,178","65,834,236","167,566,100",30.10%,97.08,"249,433,048","379,081,175","65,834,236","313,246,938"
Qld,Australia,2023-24 Q2 (Dec Qtr),Specialist Attendances,"1,607,882","150,143,054","403,415","1,204,467","33,068,752","117,074,302",25.10%,102.87,"156,429,181","257,363,853","33,068,752","224,295,101"
SA,New South Wales,2023-24 Q2 (Dec Qtr),Specialist Attendances,"595,596","51,337,921","183,502","412,094","14,911,425","36,426,496",30.80%,84.17,"56,145,588","83,040,963","14,911,425","68,129,538"
WA,Victoria,2023-24 Q2 (Dec Qtr),Specialist Attendances,"713,666","62,804,769","146,055","567,611","11,281,948","51,522,820",20.50%,108.05,"67,093,627","113,847,855","11,281,948","102,565,907"
Tas,Queensland,2023-24 Q2 (Dec Qtr),Specialist Attendances,"142,691","12,234,503","38,371","104,320","3,311,690","8,922,813",26.90%,86.78,"13,321,963","19,997,902","3,311,690","16,686,212"
NT,South Australia,2023-24 Q2 (Dec Qtr),Specialist Attendances,"28,597","2,453,219","9,552","19,045","813,848","1,639,371",33.40%,112.34,"2,767,468","4,308,141","813,848","3,494,292"
ACT,Western Australia,2023-24 Q2 (Dec Qtr),Specialist Attendances,"116,691","12,646,233","29,026","87,665","2,645,257","10,000,976",24.90%,117.98,"11,942,947","22,259,231","2,645,257","19,613,974"
Unk,Tasmania,2023-24 Q2 (Dec Qtr),Specialist Attendances,136,"13,601",33,103,"2,967","10,634",24.30%,130.28,"15,155","25,218","2,967","22,251"
Australia,Northern Australia,2023-24 Q2 (Dec Qtr),Obstetrics,"384,211","42,737,089","199,447","184,764","10,541,525","32,195,563",51.90%,266.96,"46,779,374","105,563,287","10,541,525","95,021,762"
NSW,Australian Capital Territory,2023-24 Q2 (Dec Qtr),Obstetrics,"128,196","14,775,046","65,862","62,334","3,517,242","11,257,803",51.40%,300.48,"16,078,856","37,873,136","3,517,242","34,355,894"
Vic,Unknown,2023-24 Q2 (Dec Qtr),Obstetrics,"105,616","11,435,266","73,425","32,191","3,723,359","7,711,906",69.50%,502.26,"12,785,121","29,634,241","3,723,359","25,910,881"
Qld,Australia,2023-24 Q2 (Dec Qtr),Obstetrics,"72,232","7,802,824","29,124","43,108","1,572,379","6,230,445",40.30%,148.03,"8,489,128","17,382,384","1,572,379","15,810,005"
SA,New South Wales,2023-24 Q2 (Dec Qtr),Obstetrics,"22,784","2,610,368","9,493","13,291","575,283","2,035,085",41.70%,185.21,"2,870,972","6,009,160","575,283","5,433,877"
WA,Victoria,2023-24 Q2 (Dec Qtr),Obstetrics,"42,620","4,694,885","16,321","26,299","908,863","3,786,022",38.30%,164.41,"5,053,727","10,964,526","908,863","10,055,663"
Tas,Queensland,2023-24 Q2 (Dec Qtr),Obstetrics,"5,296","660,475","2,227","3,069","108,315","552,160",42.10%,214.08,"712,990","1,610,797","108,315","1,502,482"
NT,South Australia,2023-24 Q2 (Dec Qtr),Obstetrics,"2,864","222,482","1,753","1,111","65,474","157,007",61.20%,226.67,"229,299","479,884","65,474","414,410"
ACT,Western Australia,2023-24 Q2 (Dec Qtr),Obstetrics,"4,602","535,700","1,241","3,361","70,566","465,134",27.00%,271.03,"559,230","1,609,116","70,566","1,538,550"
Unk,Tasmania,2023-24 Q2 (Dec Qtr),Obstetrics,1,44,1, -   ,44, -   ,100.00%, - ,52,44,44, -   
Australia,Northern Australia,2023-24 Q2 (Dec Qtr),Anaesthetics,"1,037,190","154,190,556","93,065","944,125","10,205,882","143,984,674",9.00%,209.06,"198,228,357","399,159,912","10,205,882","388,954,029"
NSW,Australian Capital Territory,2023-24 Q2 (Dec Qtr),Anaesthetics,"331,244","50,409,347","35,052","296,192","3,773,239","46,636,109",10.60%,186.8,"65,498,893","133,171,200","3,773,239","129,397,961"
Vic,Unknown,2023-24 Q2 (Dec Qtr),Anaesthetics,"263,793","39,158,032","23,117","240,676","2,421,446","36,736,586",8.80%,218.44,"48,996,024","101,190,074","2,421,446","98,768,628"
Qld,Australia,2023-24 Q2 (Dec Qtr),Anaesthetics,"212,881","31,216,204","24,077","188,804","2,682,418","28,533,786",11.30%,174.1,"40,444,977","81,008,944","2,682,418","78,326,527"
SA,New South Wales,2023-24 Q2 (Dec Qtr),Anaesthetics,"79,124","11,153,244","5,441","73,683","692,895","10,460,349",6.90%,165.7,"14,676,674","27,002,040","692,895","26,309,145"
WA,Victoria,2023-24 Q2 (Dec Qtr),Anaesthetics,"112,550","16,711,434","4,175","108,375","497,282","16,214,151",3.70%,389.89,"21,384,290","41,193,356","497,282","40,696,074"
Tas,Queensland,2023-24 Q2 (Dec Qtr),Anaesthetics,"19,535","2,894,257",431,"19,104","53,725","2,840,532",2.20%,96.68,"3,796,451","7,534,002","53,725","7,480,277"
NT,South Australia,2023-24 Q2 (Dec Qtr),Anaesthetics,"3,734","565,563",156,"3,578","20,619","544,943",4.20%,180.27,"743,102","1,463,133","20,619","1,442,514"
ACT,Western Australia,2023-24 Q2 (Dec Qtr),Anaesthetics,"14,310","2,079,176",612,"13,698","63,672","2,015,504",4.30%,228.3,"2,683,648","6,589,420","63,672","6,525,749"
Unk,Tasmania,2023-24 Q2 (Dec Qtr),Anaesthetics,19,"3,299",4,15,587,"2,712",21.10%,242.45,"4,297","7,743",587,"7,157"
Australia,Northern Australia,2023-24 Q2 (Dec Qtr),Total Pathology,"41,396,442","919,153,778","37,094,681","4,301,761","823,672,762","95,481,016",89.60%,22.27,"1,089,701,441","980,378,877","820,903,216","159,475,660"
NSW,Australian Capital Territory,2023-24 Q2 (Dec Qtr),Total Pathology,"14,236,554","316,470,597","12,557,292","1,679,262","281,912,760","34,557,837",88.20%,22.59,"375,330,783","336,301,722","280,886,448","55,415,275"
Vic,Unknown,2023-24 Q2 (Dec Qtr),Total Pathology,"10,126,654","220,884,864","9,139,127","987,527","198,279,266","22,605,598",90.20%,22.79,"261,671,894","236,767,158","197,593,671","39,173,487"
Qld,Australia,2023-24 Q2 (Dec Qtr),Total Pathology,"8,363,413","190,778,342","7,586,382","777,031","172,526,241","18,252,101",90.70%,21.53,"226,138,826","203,252,140","172,011,840","31,240,300"
SA,New South Wales,2023-24 Q2 (Dec Qtr),Total Pathology,"2,867,360","61,127,837","2,545,582","321,778","53,761,663","7,366,174",88.80%,24.05,"72,619,661","65,602,882","53,546,458","12,056,424"
WA,Victoria,2023-24 Q2 (Dec Qtr),Total Pathology,"4,023,613","91,150,923","3,615,926","407,687","81,930,257","9,220,666",89.90%,22.14,"108,128,722","97,432,795","81,708,555","15,724,240"
Tas,Queensland,2023-24 Q2 (Dec Qtr),Total Pathology,"885,734","18,693,912","823,516","62,218","17,078,604","1,615,308",93.00%,27.57,"22,134,524","19,789,530","17,031,383","2,758,147"
NT,South Australia,2023-24 Q2 (Dec Qtr),Total Pathology,"287,543","6,403,550","275,301","12,242","6,062,478","341,073",95.70%,38.61,"7,566,527","6,573,763","6,044,312","529,450"
ACT,Western Australia,2023-24 Q2 (Dec Qtr),Total Pathology,"605,039","13,628,824","551,058","53,981","12,107,384","1,521,441",91.10%,15.95,"16,092,850","14,643,515","12,066,473","2,577,042"
Unk,Tasmania,2023-24 Q2 (Dec Qtr),Total Pathology,532,"14,929",497,35,"14,109",820,93.40%, - ,"17,654","15,372","14,076","1,296"
Australia,Northern Australia,2023-24 Q2 (Dec Qtr),Diagnostic Imaging,"7,499,010","1,234,127,378","5,722,757","1,776,253","954,910,678","279,216,700",76.30%,117.4,"1,322,384,411","1,428,377,619","954,910,678","473,466,941"
NSW,Australian Capital Territory,2023-24 Q2 (Dec Qtr),Diagnostic Imaging,"2,583,847","430,531,596","1,998,686","585,161","335,459,059","95,072,537",77.40%,112.55,"462,709,905","488,615,388","335,459,059","153,156,328"
Vic,Unknown,2023-24 Q2 (Dec Qtr),Diagnostic Imaging,"1,875,873","302,133,268","1,435,613","440,260","235,897,110","66,236,158",76.50%,119.76,"322,772,682","352,163,060","235,897,110","116,265,950"
Qld,Australia,2023-24 Q2 (Dec Qtr),Diagnostic Imaging,"1,538,859","254,007,465","1,162,312","376,547","194,953,061","59,054,404",75.50%,116.19,"271,150,235","296,587,685","194,953,061","101,634,624"
SA,New South Wales,2023-24 Q2 (Dec Qtr),Diagnostic Imaging,"490,775","82,187,249","366,570","124,205","61,517,678","20,669,571",74.70%,133.74,"88,598,121","97,273,265","61,517,678","35,755,587"
WA,Victoria,2023-24 Q2 (Dec Qtr),Diagnostic Imaging,"763,395","124,843,204","595,893","167,502","99,565,794","25,277,410",78.10%,110.19,"133,940,953","143,324,877","99,565,794","43,759,083"
Tas,Queensland,2023-24 Q2 (Dec Qtr),Diagnostic Imaging,"120,077","18,786,620","81,354","38,723","13,052,742","5,733,878",67.80%,119.22,"20,356,470","23,074,778","13,052,742","10,022,035"
NT,South Australia,2023-24 Q2 (Dec Qtr),Diagnostic Imaging,"34,556","5,344,610","28,466","6,090","4,448,551","896,059",82.40%,145.94,"5,692,438","6,167,634","4,448,551","1,719,082"
ACT,Western Australia,2023-24 Q2 (Dec Qtr),Diagnostic Imaging,"91,539","16,276,108","53,804","37,735","10,004,689","6,271,418",58.80%,133.6,"17,145,106","21,149,850","10,004,689","11,145,161"
Unk,Tasmania,2023-24 Q2 (Dec Qtr),Diagnostic Imaging,89,"17,257",59,30,"11,993","5,264",66.30%,137.34,"18,501","21,083","11,993","9,090"
Australia,Northern Australia,2023-24 Q2 (Dec Qtr),Total Operations,"3,035,477","643,887,320","1,033,471","2,002,006","117,958,216","525,929,104",34.00%,95.96,"789,667,103","1,351,356,458","117,958,216","1,233,398,241"
NSW,Australian Capital Territory,2023-24 Q2 (Dec Qtr),Total Operations,"996,501","217,812,907","371,778","624,723","44,733,635","173,079,273",37.30%,103.33,"262,493,209","469,961,637","44,733,635","425,228,003"
Vic,Unknown,2023-24 Q2 (Dec Qtr),Total Operations,"637,196","144,933,015","166,330","470,866","20,961,111","123,971,905",26.10%,101.85,"180,544,616","302,805,086","20,961,111","281,843,975"
Qld,Australia,2023-24 Q2 (Dec Qtr),Total Operations,"765,376","141,907,084","323,796","441,580","33,697,112","108,209,972",42.30%,90.73,"172,118,100","293,673,019","33,697,112","259,975,908"
SA,New South Wales,2023-24 Q2 (Dec Qtr),Total Operations,"202,938","45,930,037","59,206","143,732","7,021,258","38,908,779",29.20%,73.98,"58,190,675","89,058,343","7,021,258","82,037,085"
WA,Victoria,2023-24 Q2 (Dec Qtr),Total Operations,"319,126","67,390,083","88,686","230,440","8,808,062","58,582,021",27.80%,85.25,"84,659,638","135,882,126","8,808,062","127,074,064"
Tas,Queensland,2023-24 Q2 (Dec Qtr),Total Operations,"61,063","13,607,653","12,018","49,045","1,347,695","12,259,958",19.70%,66.56,"17,171,805","28,011,194","1,347,695","26,663,499"
NT,South Australia,2023-24 Q2 (Dec Qtr),Total Operations,"14,286","2,780,227","5,438","8,848","583,208","2,197,020",38.10%,88.76,"3,506,075","6,028,877","583,208","5,445,670"
ACT,Western Australia,2023-24 Q2 (Dec Qtr),Total Operations,"38,945","9,514,057","6,212","32,733","805,492","8,708,566",16.00%,137.1,"10,968,728","25,911,019","805,492","25,105,527"
Unk,Tasmania,2023-24 Q2 (Dec Qtr),Total Operations,46,"12,256",7,39,644,"11,611",15.20%,46.53,"14,259","25,156",644,"24,512"
Australia,Northern Australia,2023-24 Q2 (Dec Qtr),Optometry,"2,942,030","152,627,151","2,774,136","167,894","143,409,310","9,217,841",94.30%,34.48,"178,603,217","158,415,516","143,409,310","15,006,205"
NSW,Australian Capital Territory,2023-24 Q2 (Dec Qtr),Optometry,"963,318","49,881,878","921,202","42,116","47,543,639","2,338,239",95.60%,32.39,"58,435,889","51,246,079","47,543,639","3,702,440"
Vic,Unknown,2023-24 Q2 (Dec Qtr),Optometry,"738,101","38,346,271","688,346","49,755","35,565,799","2,780,472",93.30%,34.86,"44,831,702","40,080,669","35,565,799","4,514,871"
Qld,Australia,2023-24 Q2 (Dec Qtr),Optometry,"623,951","32,235,865","585,527","38,424","30,182,907","2,052,959",93.80%,32.48,"37,698,047","33,483,875","30,182,907","3,300,968"
SA,New South Wales,2023-24 Q2 (Dec Qtr),Optometry,"207,557","10,777,346","198,063","9,494","10,268,067","509,279",95.40%,35.84,"12,640,275","11,117,576","10,268,067","849,509"
WA,Victoria,2023-24 Q2 (Dec Qtr),Optometry,"278,902","14,603,446","261,809","17,093","13,681,910","921,535",93.90%,41.45,"17,092,325","15,311,883","13,681,910","1,629,973"
Tas,Queensland,2023-24 Q2 (Dec Qtr),Optometry,"63,179","3,292,502","59,044","4,135","3,071,339","221,162",93.50%,27.56,"3,863,589","3,406,465","3,071,339","335,126"
NT,South Australia,2023-24 Q2 (Dec Qtr),Optometry,"18,668","968,716","18,344",324,"952,453","16,263",98.30%,41.18,"1,138,590","982,059","952,453","29,607"
ACT,Western Australia,2023-24 Q2 (Dec Qtr),Optometry,"48,315","2,519,236","41,767","6,548","2,141,543","377,693",86.40%,40.57,"2,900,634","2,784,903","2,141,543","643,360"
Unk,Tasmania,2023-24 Q2 (Dec Qtr),Optometry,39,"1,893",34,5,"1,655",239,87.20%,22.67,"2,166","2,007","1,655",352
Australia,Northern Australia,2023-24 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"659,343","181,911,918","504,535","154,808","121,381,853","60,530,065",76.50%,65.59,"169,972,829","192,945,661","121,381,853","71,563,808"
NSW,Australian Capital Territory,2023-24 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"199,429","54,331,899","156,968","42,461","37,091,431","17,240,468",78.70%,67.53,"51,422,310","57,346,186","37,091,431","20,254,755"
Vic,Unknown,2023-24 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"152,492","42,225,221","117,580","34,912","28,936,179","13,289,042",77.10%,64.54,"40,280,792","44,915,109","28,936,179","15,978,930"
Qld,Australia,2023-24 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"150,985","43,561,969","107,980","43,005","26,738,970","16,822,999",71.50%,65.78,"38,843,874","46,632,217","26,738,970","19,893,247"
SA,New South Wales,2023-24 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"47,909","13,651,409","34,041","13,868","8,918,834","4,732,575",71.10%,53.11,"12,933,326","14,412,223","8,918,834","5,493,390"
WA,Victoria,2023-24 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"78,961","20,796,530","65,302","13,659","14,930,797","5,865,733",82.70%,73.83,"19,881,701","21,812,022","14,930,797","6,881,224"
Tas,Queensland,2023-24 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"16,026","3,958,723","12,126","3,900","2,648,634","1,310,089",75.70%,55.3,"3,685,504","4,196,946","2,648,634","1,548,312"
NT,South Australia,2023-24 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"4,308","1,034,033","4,236",72,"1,012,189","21,844",98.30%,49.42,"1,143,374","1,037,933","1,012,189","25,744"
ACT,Western Australia,2023-24 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"9,217","2,350,192","6,286","2,931","1,102,876","1,247,315",68.20%,81.91,"1,779,663","2,591,082","1,102,876","1,488,206"
Unk,Tasmania,2023-24 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,16,"1,943",16, -   ,"1,943", -   ,100.00%, - ,"2,285","1,943","1,943", -   
Australia,Northern Australia,2023-24 Q2 (Dec Qtr),Other MBS Services,"3,090,529","638,128,890","1,855,551","1,234,978","445,342,526","192,786,364",60.00%,135.75,"701,647,916","776,038,738","445,342,526","330,696,212"
NSW,Australian Capital Territory,2023-24 Q2 (Dec Qtr),Other MBS Services,"1,031,604","212,210,724","638,267","393,337","149,371,010","62,839,714",61.90%,145.55,"234,731,062","257,968,284","149,371,010","108,597,275"
Vic,Unknown,2023-24 Q2 (Dec Qtr),Other MBS Services,"739,325","163,958,254","473,273","266,052","113,682,429","50,275,825",64.00%,175.57,"177,863,903","200,864,981","113,682,429","87,182,552"
Qld,Australia,2023-24 Q2 (Dec Qtr),Other MBS Services,"654,236","131,908,570","371,068","283,168","93,947,154","37,961,415",56.70%,121.16,"145,599,255","159,175,190","93,947,154","65,228,035"
SA,New South Wales,2023-24 Q2 (Dec Qtr),Other MBS Services,"221,933","45,378,412","117,630","104,303","30,794,085","14,584,327",53.00%,98.31,"50,407,447","54,801,150","30,794,085","24,007,066"
WA,Victoria,2023-24 Q2 (Dec Qtr),Other MBS Services,"318,097","56,707,597","183,010","135,087","38,397,018","18,310,579",57.50%,101.23,"62,997,029","69,549,688","38,397,018","31,152,670"
Tas,Queensland,2023-24 Q2 (Dec Qtr),Other MBS Services,"59,531","14,488,145","31,832","27,699","10,525,027","3,963,118",53.50%,77.79,"16,083,106","16,536,490","10,525,027","6,011,463"
NT,South Australia,2023-24 Q2 (Dec Qtr),Other MBS Services,"19,449","5,346,482","15,611","3,838","4,495,114","851,368",80.30%,214.35,"5,779,371","6,038,548","4,495,114","1,543,434"
ACT,Western Australia,2023-24 Q2 (Dec Qtr),Other MBS Services,"46,317","8,124,019","24,846","21,471","4,126,591","3,997,427",53.60%,146.05,"8,178,700","11,096,043","4,126,591","6,969,452"
Unk,Tasmania,2023-24 Q2 (Dec Qtr),Other MBS Services,37,"6,689",14,23,"4,098","2,591",37.80%,141.21,"8,044","8,364","4,098","4,266"
Australia,Australian Capital Territory,2023-24 Q3 (Mar Qtr),Total Medicare,"112,558,520","7,203,674,580","84,401,927","28,156,593","4,834,477,521","2,369,197,058",75.00%,84.22,"7,995,040,970","9,846,987,658","4,831,290,928","5,015,696,730"
NSW,Unknown,2023-24 Q3 (Mar Qtr),Total Medicare,"37,239,444","2,397,624,587","28,546,589","8,692,855","1,652,805,178","744,819,408",76.70%,92.43,"2,662,820,118","3,266,265,821","1,651,899,475","1,614,366,346"
Vic,Australia,2023-24 Q3 (Mar Qtr),Total Medicare,"28,642,216","1,829,215,504","21,591,627","7,050,589","1,225,223,384","603,992,121",75.40%,84.17,"2,025,656,925","2,490,478,869","1,224,327,141","1,266,151,728"
Qld,New South Wales,2023-24 Q3 (Mar Qtr),Total Medicare,"24,076,706","1,524,755,456","17,918,389","6,158,317","1,028,617,610","496,137,846",74.40%,81.36,"1,690,401,497","2,083,031,021","1,027,885,513","1,055,145,508"
SA,Victoria,2023-24 Q3 (Mar Qtr),Total Medicare,"7,595,152","494,409,487","5,550,074","2,045,078","319,833,965","174,575,523",73.10%,71.2,"551,916,805","663,396,156","319,587,443","343,808,713"
WA,Queensland,2023-24 Q3 (Mar Qtr),Total Medicare,"10,582,593","681,769,056","7,638,412","2,944,181","436,754,078","245,014,977",72.20%,77.25,"758,542,723","943,724,243","436,481,679","507,242,564"
Tas,South Australia,2023-24 Q3 (Mar Qtr),Total Medicare,"2,170,742","135,383,759","1,574,396","596,346","85,495,220","49,888,539",72.50%,72.35,"151,120,652","186,826,101","85,437,973","101,388,129"
NT,Western Australia,2023-24 Q3 (Mar Qtr),Total Medicare,"688,286","42,974,198","566,582","121,704","33,009,432","9,964,766",82.30%,73.41,"46,864,650","54,624,849","32,973,251","21,651,598"
ACT,Tasmania,2023-24 Q3 (Mar Qtr),Total Medicare,"1,560,955","97,373,146","1,013,946","547,009","52,613,571","44,759,575",65.00%,92.82,"107,527,373","158,426,499","52,573,379","105,853,120"
Unk,Northern Australia,2023-24 Q3 (Mar Qtr),Total Medicare,"2,426","169,386","1,912",514,"125,084","44,302",78.80%,75.79,"190,227","214,099","125,076","89,023"
